,id,join_date,sex,company_type,wfh,designation,work_hours,fatigue_score,burn_rate
79,fffe32003600360039003700,2008-11-26,Female,Service,No,2.0,6.0,0.6900000000000001,0.67
80,fffe3200360031003700,2008-10-21,Female,Product,Yes,1.0,2.0,0.53,0.38
81,fffe33003300350036003100,2008-03-19,Female,Service,Yes,2.0,2.0,0.43,0.28
82,fffe31003600360039003900,2008-09-27,Male,Product,Yes,0.0,1.0,0.08,0.05
83,fffe31003500340038003100,2008-03-28,Female,Service,Yes,2.0,4.0,0.29,0.22
84,fffe32003400320034003800,2008-03-12,Female,Service,Yes,1.0,3.0,0.5,0.39
85,fffe31003300310036003300,2008-05-20,Male,Service,Yes,1.0,4.0,0.6900000000000001,0.52
86,fffe33003100300031003200,2008-09-17,Female,Service,No,3.0,5.0,0.47000000000000003,0.39
87,fffe31003300310037003900,2008-02-13,Female,Service,No,1.0,3.0,0.2,0.11
88,fffe3300300036003900,2008-09-19,Female,Service,No,2.0,4.0,0.54,0.44
89,fffe3300360039003000,2008-07-03,Male,Product,No,2.0,5.0,0.61,0.5
90,fffe3500340030003800,2008-10-27,Female,Product,Yes,1.0,4.0,0.51,0.41
93,fffe340035003800,2008-04-15,Female,Service,Yes,3.0,5.0,0.47000000000000003,0.43
94,fffe31003700300036003800,2008-10-26,Male,Service,Yes,3.0,5.0,0.54,0.46
95,fffe32003900320033003900,2008-01-31,Female,Service,No,4.0,7.0,0.9099999999999999,0.85
96,fffe380031003300,2008-01-03,Male,Service,Yes,1.0,3.0,0.5,0.35
97,fffe33003200330030003500,2008-03-13,Male,Product,No,1.0,1.0,0.0,0.0
98,fffe33003300390037003700,2008-03-27,Male,Product,Yes,2.0,4.0,0.43,0.34
100,fffe32003500370036003100,2008-10-11,Female,Product,No,2.0,5.0,0.5700000000000001,0.55
101,fffe33003200300033003500,2008-11-15,Male,Service,Yes,4.0,6.0,0.6799999999999999,0.62
102,fffe32003500370037003600,2008-08-17,Male,Service,No,3.0,6.0,0.76,0.72
103,fffe32003400380030003100,2008-11-30,Male,Product,Yes,3.0,8.0,0.8300000000000001,0.71
104,fffe32003800330033003400,2008-08-08,Female,Product,No,1.0,3.0,0.55,0.39
105,fffe32003500360037003200,2008-06-28,Female,Service,No,1.0,3.0,0.53,0.48
106,fffe31003700350033003000,2008-05-06,Female,Service,No,3.0,7.0,0.8,0.7
107,fffe3900300032003700,2008-12-17,Male,Service,Yes,4.0,6.0,0.64,0.56
108,fffe3400320031003800,2008-09-08,Female,Service,Yes,1.0,3.0,0.36,0.27
109,fffe3300360035003600,2008-07-04,Female,Product,Yes,2.0,5.0,0.7,0.66
110,fffe31003900360033003300,2008-10-28,Female,Product,No,3.0,7.0,0.76,0.56
111,fffe32003800300036003600,2008-05-06,Male,Service,No,2.0,5.0,0.8699999999999999,0.79
112,fffe31003900310039003200,2008-02-19,Female,Product,Yes,0.0,1.0,0.26,0.18
113,fffe3400390037003700,2008-04-08,Female,Service,Yes,2.0,4.0,0.47000000000000003,0.33
114,fffe31003600300039003700,2008-02-11,Male,Service,Yes,2.0,4.0,0.64,0.4
115,fffe33003100380034003500,2008-03-02,Female,Service,No,2.0,5.0,0.58,0.39
116,fffe3800380039003400,2008-08-10,Female,Service,No,1.0,1.0,0.32999999999999996,0.23
117,fffe31003500390038003000,2008-01-04,Female,Product,Yes,2.0,4.0,0.5900000000000001,0.45
119,fffe3800390030003800,2008-11-14,Male,Product,Yes,1.0,3.0,0.7,0.52
120,fffe3300390033003100,2008-09-02,Female,Service,No,4.0,7.0,0.72,0.6
121,fffe3900330037003500,2008-10-04,Male,Service,Yes,3.0,7.0,0.79,0.59
123,fffe3300360038003700,2008-09-16,Female,Service,Yes,1.0,3.0,0.5900000000000001,0.36
124,fffe32003400390034003500,2008-03-03,Male,Service,No,1.0,3.0,0.44000000000000006,0.29
125,fffe33003100300035003600,2008-02-21,Male,Service,Yes,2.0,5.0,0.52,0.34
126,fffe31003900380032003800,2008-03-26,Female,Product,Yes,2.0,4.0,0.53,0.34
130,fffe390031003100,2008-09-17,Female,Product,Yes,3.0,4.0,0.52,0.46
131,fffe31003300380039003700,2008-02-24,Male,Service,Yes,2.0,5.0,0.45,0.36
132,fffe32003700390032003000,2008-12-09,Female,Product,No,2.0,3.0,0.6599999999999999,0.45
133,fffe32003000300035003100,2008-01-19,Female,Product,Yes,3.0,5.0,0.38,0.27
134,fffe33003400340033003100,2008-01-26,Male,Product,No,3.0,7.0,0.76,0.65
136,fffe3900380037003500,2008-05-16,Female,Product,Yes,3.0,6.0,0.5599999999999999,0.34
137,fffe31003300380033003700,2008-08-10,Female,Service,Yes,1.0,3.0,0.54,0.37
138,fffe33003000340037003600,2008-06-28,Male,Product,Yes,1.0,2.0,0.49000000000000005,0.25
139,fffe32003600370033003700,2008-05-07,Male,Service,No,2.0,5.0,0.73,0.57
140,fffe3600320032003900,2008-05-03,Male,Service,No,2.0,5.0,0.5599999999999999,0.52
142,fffe3400330035003800,2008-10-16,Female,Product,No,4.0,8.0,0.78,0.75
143,fffe3600380039003200,2008-07-09,Female,Product,Yes,4.0,7.0,0.67,0.55
144,fffe31003700330032003400,2008-03-11,Female,Service,No,1.0,4.0,0.65,0.43
145,fffe32003900320030003300,2008-08-15,Female,Service,Yes,0.0,1.0,0.18,0.1
146,fffe32003600370036003700,2008-08-25,Female,Product,No,3.0,6.0,0.8099999999999999,0.68
148,fffe33003400300034003600,2008-04-26,Male,Service,Yes,3.0,7.0,0.64,0.56
149,fffe3400350037003000,2008-01-26,Male,Service,Yes,3.0,8.0,0.72,0.73
150,fffe32003800370034003800,2008-09-05,Female,Service,No,2.0,5.0,0.86,0.7
152,fffe31003300330030003000,2008-12-19,Male,Product,No,4.0,8.0,0.95,0.88
153,fffe31003100370035003400,2008-08-13,Male,Product,Yes,2.0,6.0,0.6799999999999999,0.63
154,fffe3100360037003800,2008-03-08,Female,Service,No,2.0,5.0,0.65,0.62
155,fffe3500390039003700,2008-09-14,Female,Service,Yes,2.0,3.0,0.35,0.25
156,fffe33003400350037003000,2008-04-24,Male,Service,No,2.0,3.0,0.48,0.4
157,fffe3300340033003900,2008-02-05,Male,Product,No,3.0,8.0,0.76,0.77
158,fffe32003800380038003500,2008-02-17,Male,Product,Yes,3.0,6.0,0.62,0.58
159,fffe31003700380039003600,2008-09-11,Female,Product,Yes,3.0,6.0,0.36,0.3
160,fffe32003600360038003400,2008-04-16,Male,Product,No,3.0,6.0,0.8,0.61
161,fffe31003000340032003700,2008-10-24,Female,Service,Yes,3.0,5.0,0.6,0.4
162,fffe3300380034003600,2008-03-05,Female,Service,Yes,1.0,3.0,0.38,0.33
163,fffe32003200320034003000,2008-04-03,Female,Product,Yes,1.0,2.0,0.24,0.06
164,fffe31003100380033003600,2008-08-08,Male,Service,Yes,1.0,4.0,0.43,0.36
165,fffe32003800310031003100,2008-09-18,Female,Service,Yes,1.0,2.0,0.37,0.28
167,fffe32003000330031003700,2008-03-01,Male,Product,Yes,2.0,5.0,0.5599999999999999,0.37
168,fffe32003500340034003400,2008-05-23,Female,Service,Yes,0.0,1.0,0.1,0.03
169,fffe33003300310035003800,2008-09-07,Female,Product,Yes,2.0,5.0,0.72,0.67
170,fffe32003400360033003800,2008-03-23,Male,Service,Yes,1.0,3.0,0.67,0.46
172,fffe31003700330032003300,2008-12-29,Female,Service,Yes,3.0,8.0,0.75,0.72
174,fffe3900360033003500,2008-03-27,Female,Service,No,4.0,7.0,0.75,0.65
175,fffe31003100350037003700,2008-02-24,Female,Product,No,0.0,1.0,0.4,0.24
176,fffe31003400350033003700,2008-11-30,Female,Service,Yes,1.0,3.0,0.53,0.41
177,fffe3100390034003700,2008-10-03,Female,Product,No,2.0,5.0,0.75,0.68
179,fffe31003300310035003400,2008-01-30,Male,Product,No,4.0,7.0,0.77,0.72
180,fffe33003400390035003500,2008-03-28,Male,Service,Yes,0.0,2.0,0.44000000000000006,0.33
183,fffe31003400340031003500,2008-10-13,Male,Service,Yes,3.0,5.0,0.65,0.48
184,fffe32003300340038003400,2008-02-08,Male,Product,Yes,2.0,4.0,0.55,0.48
185,fffe31003700310033003400,2008-11-25,Male,Service,No,2.0,5.0,0.5,0.36
187,fffe31003400380038003100,2008-11-07,Male,Product,No,4.0,10.0,0.9199999999999999,0.91
189,fffe31003000360035003700,2008-12-23,Female,Product,Yes,1.0,2.0,0.41,0.24
190,fffe33003400330035003900,2008-11-24,Female,Service,No,3.0,6.0,0.55,0.45
191,fffe3900350033003600,2008-06-21,Male,Service,No,5.0,9.0,0.8800000000000001,0.85
192,fffe31003000300037003800,2008-05-20,Female,Service,No,2.0,4.0,0.55,0.34
193,fffe3900300031003000,2008-11-29,Male,Product,Yes,1.0,3.0,0.5900000000000001,0.36
194,fffe33003100360037003700,2008-08-11,Female,Service,Yes,2.0,4.0,0.45,0.34
195,fffe3900350039003000,2008-04-29,Male,Product,No,3.0,6.0,0.8,0.59
196,fffe31003200370030003900,2008-07-22,Female,Service,Yes,2.0,4.0,0.58,0.44
197,fffe3800380035003500,2008-11-19,Male,Service,No,1.0,3.0,0.44000000000000006,0.38
199,fffe31003700380033003600,2008-12-29,Male,Product,No,3.0,6.0,0.75,0.59
200,fffe33003400360035003000,2008-06-20,Female,Service,No,2.0,7.0,0.8,0.7
201,fffe31003200370036003300,2008-08-31,Male,Product,No,2.0,3.0,0.61,0.42
202,fffe32003000320030003900,2008-05-26,Male,Product,Yes,1.0,2.0,0.51,0.46
204,fffe32003800370033003600,2008-02-14,Female,Service,Yes,3.0,5.0,0.47000000000000003,0.39
205,fffe33003000360035003300,2008-03-04,Female,Service,Yes,3.0,5.0,0.52,0.42
206,fffe31003100370037003500,2008-10-06,Male,Product,Yes,0.0,1.0,0.0,0.0
207,fffe32003700320037003100,2008-10-21,Female,Service,Yes,2.0,5.0,0.51,0.46
208,fffe31003800300037003300,2008-08-16,Male,Product,Yes,1.0,2.0,0.44000000000000006,0.3
209,fffe32003700370030003400,2008-10-29,Female,Product,No,4.0,6.0,0.6900000000000001,0.63
210,fffe31003400310039003400,2008-07-15,Female,Service,No,2.0,5.0,0.53,0.45
212,fffe3400350038003300,2008-09-01,Female,Service,Yes,3.0,6.0,0.6,0.58
213,fffe31003900300039003700,2008-01-06,Male,Product,No,4.0,7.0,0.86,0.67
214,fffe32003400330033003400,2008-03-20,Male,Service,No,2.0,5.0,0.73,0.71
215,fffe32003800310033003800,2008-04-14,Female,Service,Yes,1.0,3.0,0.55,0.48
216,fffe3700360035003600,2008-05-21,Male,Service,Yes,1.0,3.0,0.29,0.22
217,fffe32003000340039003700,2008-06-11,Female,Product,No,3.0,6.0,0.51,0.43
219,fffe3800350037003300,2008-02-16,Male,Service,No,2.0,5.0,0.64,0.57
223,fffe33003400360039003100,2008-10-29,Female,Service,Yes,3.0,4.0,0.61,0.47
224,fffe33003000300033003700,2008-06-11,Female,Service,Yes,3.0,5.0,0.53,0.47
225,fffe3400370031003000,2008-10-13,Female,Product,Yes,1.0,4.0,0.55,0.34
226,fffe32003800370039003300,2008-10-10,Female,Service,Yes,1.0,3.0,0.55,0.37
227,fffe3400310036003300,2008-09-26,Female,Service,No,3.0,7.0,0.78,0.8
228,fffe31003100380031003200,2008-06-01,Male,Product,No,4.0,8.0,0.89,0.8
230,fffe32003000370031003000,2008-07-23,Female,Service,Yes,1.0,4.0,0.6900000000000001,0.49
232,fffe31003400340032003700,2008-08-09,Male,Service,Yes,0.0,1.0,0.0,0.0
233,fffe33003000340033003600,2008-10-05,Male,Service,Yes,4.0,9.0,0.93,0.86
234,fffe31003500340030003900,2008-03-14,Female,Service,Yes,1.0,2.0,0.45999999999999996,0.33
236,fffe31003200370033003800,2008-06-14,Female,Service,Yes,3.0,6.0,0.5700000000000001,0.5
237,fffe33003200300031003300,2008-10-23,Female,Service,Yes,2.0,4.0,0.45,0.34
238,fffe32003100380035003300,2008-02-22,Male,Product,Yes,0.0,2.0,0.47000000000000003,0.23
239,fffe3400340035003800,2008-02-04,Male,Product,No,4.0,8.0,0.99,0.92
240,fffe33003200380031003800,2008-05-19,Female,Service,Yes,3.0,6.0,0.63,0.44
241,fffe33003200330034003200,2008-09-20,Female,Service,Yes,1.0,3.0,0.36,0.15
242,fffe33003000310038003300,2008-03-08,Female,Service,Yes,0.0,2.0,0.43,0.32
243,fffe32003200390032003500,2008-08-01,Female,Service,Yes,3.0,4.0,0.65,0.43
244,fffe32003600360035003100,2008-01-18,Male,Service,No,4.0,9.0,0.8699999999999999,0.78
245,fffe360030003700,2008-03-04,Male,Service,Yes,0.0,1.0,0.31,0.23
246,fffe31003200320037003900,2008-07-13,Male,Service,Yes,2.0,4.0,0.36,0.21
247,fffe3100320034003200,2008-08-15,Male,Service,Yes,1.0,2.0,0.36,0.23
248,fffe3600390030003500,2008-11-04,Female,Product,Yes,3.0,5.0,0.5700000000000001,0.4
249,fffe32003100360038003100,2008-11-24,Female,Service,Yes,2.0,5.0,0.5700000000000001,0.38
250,fffe32003800370033003900,2008-04-16,Female,Service,No,0.0,1.0,0.05,0.0
251,fffe31003100300038003900,2008-12-05,Female,Product,No,2.0,4.0,0.39,0.33
253,fffe3600350036003900,2008-12-07,Female,Product,No,2.0,5.0,0.7,0.62
255,fffe3700340032003100,2008-06-15,Male,Service,Yes,3.0,4.0,0.54,0.36
256,fffe32003100390036003700,2008-06-04,Female,Service,Yes,2.0,3.0,0.37,0.28
258,fffe31003800360038003300,2008-09-09,Female,Service,Yes,2.0,4.0,0.61,0.41
259,fffe32003800330034003000,2008-02-05,Male,Service,Yes,0.0,1.0,0.27999999999999997,0.1
260,fffe32003400300033003500,2008-11-01,Female,Service,No,2.0,4.0,0.6900000000000001,0.63
261,fffe31003400390032003000,2008-01-28,Male,Service,Yes,3.0,7.0,0.73,0.67
262,fffe32003600300034003200,2008-04-14,Male,Service,No,3.0,7.0,0.72,0.62
263,fffe32003200380037003700,2008-04-04,Male,Service,Yes,2.0,7.0,0.9,0.77
264,fffe31003500330036003700,2008-07-06,Female,Service,No,0.0,1.0,0.0,0.0
265,fffe32003900310031003300,2008-12-19,Male,Product,Yes,2.0,6.0,0.5599999999999999,0.51
266,fffe33003100310035003200,2008-12-28,Female,Service,Yes,2.0,4.0,0.6799999999999999,0.61
267,fffe3300330034003200,2008-02-11,Female,Service,Yes,1.0,3.0,0.51,0.41
268,fffe3400360032003100,2008-07-08,Female,Service,Yes,3.0,5.0,0.6,0.53
269,fffe3700390038003900,2008-12-16,Female,Service,Yes,1.0,3.0,0.6799999999999999,0.5
270,fffe32003700330036003100,2008-11-17,Male,Product,Yes,2.0,5.0,0.65,0.55
271,fffe3100310034003000,2008-07-13,Male,Service,Yes,4.0,6.0,0.5700000000000001,0.49
273,fffe31003500330036003100,2008-10-19,Male,Product,Yes,3.0,5.0,0.61,0.44
274,fffe3200340032003800,2008-01-07,Male,Service,Yes,3.0,7.0,0.8800000000000001,0.7
275,fffe32003500340036003900,2008-10-21,Female,Service,Yes,1.0,2.0,0.6799999999999999,0.48
278,fffe32003500330030003600,2008-01-19,Male,Service,No,2.0,5.0,0.6799999999999999,0.6
279,fffe32003800370038003100,2008-09-13,Male,Product,Yes,2.0,4.0,0.55,0.48
280,fffe33003400390038003700,2008-10-28,Female,Service,Yes,2.0,3.0,0.45,0.21
281,fffe31003600370032003800,2008-07-22,Female,Product,No,2.0,2.0,0.26,0.15
282,fffe32003400350038003000,2008-10-14,Male,Service,No,5.0,10.0,1.0,0.98
283,fffe31003100350037003800,2008-11-08,Female,Service,Yes,1.0,2.0,0.43,0.25
284,fffe32003700310038003500,2008-02-16,Male,Product,No,3.0,8.0,0.8800000000000001,0.7
285,fffe32003400390031003600,2008-07-11,Female,Service,No,4.0,7.0,0.72,0.69
286,fffe3500350032003300,2008-09-02,Male,Service,Yes,1.0,3.0,0.44000000000000006,0.33
287,fffe3300360036003400,2008-12-04,Female,Service,No,2.0,4.0,0.55,0.44
288,fffe33003200380032003700,2008-12-26,Female,Product,No,2.0,5.0,0.78,0.57
289,fffe33003300320037003500,2008-05-08,Male,Product,Yes,1.0,3.0,0.45,0.27
290,fffe32003200330034003200,2008-08-12,Male,Service,No,4.0,6.0,0.67,0.67
291,fffe31003000340033003200,2008-01-26,Female,Service,No,1.0,1.0,0.33999999999999997,0.25
292,fffe390035003100,2008-08-24,Female,Service,No,0.0,1.0,0.36,0.18
293,fffe3500300035003400,2008-02-03,Female,Product,No,3.0,7.0,0.79,0.6
294,fffe32003500370035003000,2008-09-30,Female,Service,Yes,2.0,5.0,0.53,0.39
295,fffe31003700340033003400,2008-09-21,Female,Service,Yes,1.0,3.0,0.53,0.34
296,fffe33003400340030003900,2008-11-10,Female,Product,No,3.0,6.0,0.55,0.52
297,fffe33003100320037003700,2008-04-28,Female,Product,No,1.0,3.0,0.54,0.42
298,fffe3900300039003300,2008-12-25,Male,Product,Yes,1.0,1.0,0.48,0.28
299,fffe31003600330039003300,2008-01-09,Female,Product,Yes,2.0,4.0,0.62,0.38
300,fffe3500370038003800,2008-05-18,Male,Product,No,4.0,6.0,0.6900000000000001,0.59
301,fffe3200340033003500,2008-01-23,Female,Product,Yes,2.0,5.0,0.8,0.62
302,fffe31003700370036003700,2008-09-14,Male,Product,No,3.0,7.0,0.8699999999999999,0.76
303,fffe3200350035003100,2008-08-09,Female,Service,No,1.0,3.0,0.42000000000000004,0.33
304,fffe33003100310030003900,2008-12-08,Male,Service,No,2.0,2.0,0.42000000000000004,0.28
305,fffe33003000370038003600,2008-01-25,Female,Service,No,3.0,6.0,0.72,0.62
306,fffe31003900330039003900,2008-10-08,Female,Service,Yes,2.0,4.0,0.52,0.45
307,fffe31003500380036003900,2008-09-14,Male,Service,Yes,2.0,2.0,0.32999999999999996,0.24
309,fffe33003100350036003000,2008-09-27,Male,Service,No,2.0,5.0,0.63,0.53
310,fffe340039003600,2008-05-03,Male,Service,Yes,2.0,4.0,0.6799999999999999,0.59
313,fffe31003500390034003500,2008-02-04,Male,Product,Yes,3.0,5.0,0.38,0.29
314,fffe3200370032003800,2008-05-12,Female,Product,Yes,1.0,2.0,0.27,0.19
315,fffe3200370037003600,2008-02-21,Female,Service,No,4.0,7.0,0.8099999999999999,0.65
316,fffe32003900350036003500,2008-12-09,Female,Product,Yes,1.0,1.0,0.13,0.02
317,fffe33003000380035003300,2008-10-16,Female,Service,Yes,2.0,4.0,0.7,0.47
319,fffe31003300310039003200,2008-10-26,Female,Service,No,2.0,5.0,0.6599999999999999,0.43
320,fffe32003800340031003500,2008-09-22,Female,Service,No,2.0,5.0,0.79,0.61
321,fffe31003400320038003900,2008-08-06,Female,Product,No,0.0,2.0,0.47000000000000003,0.33
322,fffe32003700300037003600,2008-05-03,Female,Service,No,2.0,4.0,0.79,0.6
323,fffe32003600380034003200,2008-03-03,Female,Product,No,2.0,6.0,0.64,0.52
324,fffe31003800360034003800,2008-04-30,Male,Service,Yes,5.0,9.0,0.93,0.93
325,fffe31003500340036003400,2008-12-20,Male,Product,No,2.0,4.0,0.63,0.47
327,fffe31003900380039003900,2008-03-02,Male,Service,No,3.0,7.0,0.6900000000000001,0.51
328,fffe31003300390037003400,2008-02-08,Female,Service,Yes,1.0,1.0,0.49000000000000005,0.26
329,fffe32003500380038003000,2008-04-13,Female,Product,Yes,3.0,4.0,0.52,0.42
330,fffe33003100340038003200,2008-11-20,Female,Service,No,2.0,5.0,0.62,0.58
331,fffe32003600340033003900,2008-11-19,Female,Service,Yes,1.0,2.0,0.53,0.3
332,fffe32003500350030003000,2008-08-12,Male,Product,Yes,3.0,6.0,0.62,0.56
333,fffe31003700300039003800,2008-04-12,Male,Product,No,2.0,5.0,0.61,0.57
334,fffe32003400350032003300,2008-11-18,Female,Service,Yes,2.0,3.0,0.55,0.3
335,fffe32003500350031003700,2008-04-21,Male,Service,No,4.0,8.0,0.95,0.86
336,fffe3700330033003700,2008-08-11,Male,Product,No,2.0,6.0,0.63,0.62
337,fffe32003300360036003800,2008-02-25,Male,Service,Yes,3.0,5.0,0.52,0.41
338,fffe31003100380035003700,2008-06-22,Male,Service,Yes,1.0,4.0,0.51,0.38
339,fffe32003700330031003200,2008-02-15,Female,Service,Yes,2.0,5.0,0.5900000000000001,0.41
340,fffe32003300390039003100,2008-07-22,Female,Service,No,2.0,5.0,0.58,0.46
341,fffe32003000340034003200,2008-05-23,Female,Service,No,2.0,4.0,0.5900000000000001,0.44
342,fffe32003400310034003700,2008-08-15,Female,Product,No,1.0,1.0,0.32,0.24
343,fffe32003100320031003200,2008-02-24,Female,Service,Yes,2.0,4.0,0.61,0.39
345,fffe3800360038003500,2008-02-14,Female,Service,No,2.0,4.0,0.75,0.53
347,fffe3900390035003300,2008-02-24,Female,Service,No,2.0,2.0,0.39,0.21
348,fffe31003300360033003500,2008-10-13,Male,Service,No,4.0,8.0,0.8400000000000001,0.77
349,fffe31003000350034003500,2008-12-22,Female,Product,Yes,1.0,2.0,0.6,0.37
352,fffe3600350037003000,2008-03-14,Male,Service,Yes,1.0,3.0,0.49000000000000005,0.38
353,fffe31003700330038003800,2008-06-07,Male,Product,Yes,3.0,4.0,0.63,0.47
354,fffe31003500390038003400,2008-08-31,Male,Service,No,4.0,8.0,0.8,0.69
355,fffe3300360037003100,2008-11-16,Male,Service,No,2.0,7.0,0.71,0.72
356,fffe32003500350032003000,2008-06-26,Male,Service,No,4.0,8.0,0.73,0.73
357,fffe33003300350035003900,2008-05-11,Female,Product,No,4.0,8.0,0.82,0.72
358,fffe31003700330038003900,2008-09-03,Female,Product,No,2.0,6.0,0.71,0.58
359,fffe32003500310036003900,2008-03-06,Female,Service,Yes,2.0,5.0,0.45,0.38
360,fffe33003200390034003100,2008-03-23,Female,Service,Yes,1.0,4.0,0.5,0.36
361,fffe32003000360039003500,2008-11-03,Male,Service,No,2.0,5.0,0.42000000000000004,0.32
362,fffe3200370034003700,2008-02-27,Male,Product,Yes,1.0,3.0,0.48,0.35
